fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
53;"32";"15";"050";"011";CIKAMPEK BARAT;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050011";"3215050";"0  ";sp2020;3215050011044B;"044B";12081.4707387555;"0061";RT 07 RW 15 DUSUN SUKAMULYA;"-";"1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
54;"32";"15";"050";"011";CIKAMPEK BARAT;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050011";"3215050";"0  ";sp2020;3215050011043B;"043B";21611.40227025;"0060";RT 06 RW 15 DUSUN SUKAMULYA;"-";"1, 1, 1, 1";"1";;;;;;;;;1
55;"32";"15";"051";"001";MEKARJAYA;PURWASARI;KARAWANG;JAWA BARAT;"3215051001";"3215051";"0  ";sp2020;3215051001001B;"001B";558566.415562998;"0008";RT 008 RW 004 DUSUN TAMELANG;"-";"1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
56;"32";"15";"051";"001";MEKARJAYA;PURWASARI;KARAWANG;JAWA BARAT;"3215051001";"3215051";"0  ";sp2020;3215051001002B;"002B";542789.529441647;"0009";RT 009 RW 005 DUSUN SERANG;"-";"1, 1, 1";"1";;;;;;;;;1
57;"32";"15";"051";"004";SUKASARI;PURWASARI;KARAWANG;JAWA BARAT;"3215051004";"3215051";"0  ";sp2020;3215051004021B;"021B";25418.0021752177;"0007";RT 003 RW 002 DUSUN CENGKONG;"-";"1, 1, 1, 1";"1";;;;;;;;;1
58;"32";"15";"051";"004";SUKASARI;PURWASARI;KARAWANG;JAWA BARAT;"3215051004";"3215051";"0  ";sp2020;3215051004020B;"020B";88303.2259148345;"0008";RT 004 RW 002 DUSUN CENGKONG;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
59;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007003P;"003P";634378.411644358;"1003";SAWAH;"-";"11";"11";;;;;;;;;1
60;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007002B;"002B";112044.130339343;"0013";RT 013 RW 003 DUSUN RAWA WIRU;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
61;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007001P;"001P";373958.862243784;"1001";SAWAH;"-";"11";"11";;;;;;;;;2
62;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007010B;"010B";123303.278165201;"0014";RT 014 RW 004 DUSUN KALI JERUK;"-";"1, 1, 1";"1";;;;;;;;;1
